Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.03864002,13.3623457,15.18587589,13.48817205,14.40716839,14.00500011,15.05827332,15.16750002,15.11499977,13.81464767,15.30996513,14.49908352,13.37804127,13.3466239,,
Early-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.61715698,,17.23495674,17.17948532,16.48649025,16.7507,16.40539837,16.37450027,16.12016106,16.11047935,16.57785034,14.99800014,15.76399994,15.63411999,,
East Asia & Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.24252701,14.36915255,14.98242378,16.7917757,14.78070545,15.39351368,15.56298923,15.97275686,15.39899969,15.11499977,15.16179323,15.45641851,15.29336834,12.82670593,13.71678782,,
Europe & Central Asia (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.03695869,11.23968172,12.61114407,11.79562807,13.01401901,13.26532459,13.43158436,11.89395428,12.1173687,13.07826328,12.46874475,12.46901035,,
Europe & Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.20372963,11.97324753,11.80934381,11.33260965,10.92221308,11.48573399,11.35631466,11.62699509,11.20705986,11.34249592,11.73614788,11.55142879,11.05323887,11.26752949,11.8259635,10.72942924,11.09461784,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.84613991,6.665820122,4.957300186,,,,,,,,,13.17257023,12.9965601,11.97611046,10.7635498,10.54088974,11.32730007,11.57306004,12.79800034,13.87300014,14.54599953,10.67455006,10.58911037,9.756010056,9.270460129,
"Egypt, Arab Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4734354,11.67236996,11.60687065,11.01320553,11.17261791,11.33020687,10.9515276,10.92304325,12,12,12,,,,,,,,
Euro area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.96098185,11.74502993,11.70829582,11.30160856,10.92221308,11.02456665,11.20872736,11.04284954,10.81896925,10.86237431,10.75786114,10.76150942,10.63988447,10.43979883,10.75270987,10.29600525,10.47586441,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9151299,,6.250919819,5.565539837,,8.784939766,7.581009865,,7.131400108,,5.445159912,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.40522575,10.43703461,10.38255215,10.35980511,10.17765427,9.938093185,9.69765377,8.558403015,8.975120544,9.173282623,9.414457321,9.660429955,9.75414753,9.572023392,9.576940536,9.022061348,9.178600311,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.51799965,17.53685188,17.01323509,16.42277908,15.28184414,16.17285538,16.25656891,15.61931038,15.38186264,14.6169796,14.97884846,14.36475658,14.49369907,15.80064011,15.52501392,14.28443909,14.25197411,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,12.35554028,12.48698997,12.1781702,9.701319695,11.82013035,10.0891304,10.32174969,,,,,,,13.26484013,,,13.04413986,14.86991978,,,14.9077301,14.46177006,16.18774986,,,,23.97537994,24.69944954,26.35573006,23.58374977,26.30404091,29.67443085,30.53953934,27.02109909,25.91838074,23.66399956,23.01300049,23.3239994,22.99200058,20.92200089,22.44799995,23.56200027,23.00600052,
European Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.14074039,11.82121181,11.36902332,11.32608795,10.71168137,11.21544456,11.18788433,11.01577759,10.66393566,10.65031433,10.54351521,10.64693069,10.73969841,10.85924339,10.97616482,10.3530426,10.7206068,,
Fragile and conflict affected situations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.40622902,14.7528615,14.73440266,15.14117718,12.87975979,13.36203909,13.04408455,14.55315733,15.03693485,14.1789999,13.8920002,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.46187019,12.44333553,12.41471386,12.19075775,11.99967384,12.13768482,11.97931862,11.55808258,11.20705986,11.07443428,10.97220707,10.87608814,10.54007053,10.39947319,10.5227766,10.2389679,10.23112202,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.00093079,20.53511047,21.7585907,19.63863945,21.03780937,,23.74914932,20.26613045,20.84329033,23.17040062,17.36972046,15.85361958,,15.23478985,16.70899963,14.30039024,16.1760006,17.3920002,16.71199989,14.82499981,14.93500042,14.05000019,16.3920002,14.46399975,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.35512638,10.35643482,10.09424782,10.11413097,9.922377586,9.921668053,9.737814903,9.612243652,9.598536491,9.594199181,9.590435028,9.541593552,9.546895027,9.565526009,9.481998444,8.822711945,8.875411034,,
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.78497982,9.965120316,,,,,,,,,,,,17.76099968,20.38500023,22.10199928,24.12800026,21.58499908,19.14800072,17.125,18.10700035,18.61499977,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.20018005,,,,,,7.058110237,11.34815979,17.70648956,,,,,,,,,,13.33041954,13.53407955,12.58226967,8.737569809,11.22548962,11.61100006,10.30200005,15.27700043,14.61499977,14.07400036,15.76399994,15.35499954,13.80300045,13.56599998
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.38796806,13.7800808,13.80715084,13.04262924,13.14845181,13.24319553,12.72901058,12.27447224,12.12878227,12.36159229,12.29491901,12.24540329,12.28136539,12.11161995,12.01847935,10.72942924,11.23247051,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.90174484,11.96104527,9.313008308,8.878415108,8.733519554,8.995471001,9.265166283,9.820213318,12.01122379,12.50749397,14.10989475,15.01032257,15.11464214,14.27200699,14.14191246,12.06711292,12.46901035,12.17459774,
Ghana,,,,,,,,,,,,,,,,,,,,,7.641880035,7.748139858,13.8319397,,,,34.30920029,24.66799927,23.93285942,,,,,,,,,,,14.8927002,,15.74110985,,,22.37924957,23.42996025,24.16197968,22.31702042,24.03750038,22.49513054,20.69614029,30.63430977,26.58139038,21.22220993,20.98513985,23.80879974,22.09332085,20.09763908,18.59816933,14.27200031,13.62899971,12.16699982,13.1789999,12.03499985
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.962999821,7.480000019,6.357999802,6.666999817,7.855999947,7.696000099,8.012000084,7.626999855,7.760000229,7.364999771,7.681000233,7.618000031,7.821000099,8.831999779
